employee_id,name,roles,max_week_hours,min_rest_hours,max_overtime_hours,skills,contracted_hours,min_week_hours
E001,Marco,doctor|radiology|nurse|icu_nurse|receptionist,,11,2,"admin,communication,emergency,first_aid,icu,radiology",32,
E002,Diego,nurse|triage|icu_nurse|receptionist,36,11,0,"admin,communication,first_aid,icu,leadership",36,36
E003,Matteo,triage|nurse|icu_nurse|receptionist,32,11,4,"admin,communication,first_aid,icu",,24
E004,Beatrice,triage|nurse|receptionist,36,11,4,"admin,communication,first_aid",,32
E005,Tina,triage|nurse,38,11,2,"communication,first_aid",38,38
E006,Chiara,nurse,40,11,2,"first_aid,leadership",40,40
E007,Michela,triage|nurse,36,11,2,"communication,first_aid",,24
E008,Silvia,nurse|icu_nurse,40,11,2,"first_aid,icu",40,40
E009,Enrico,doctor|labtech|nurse,38,11,4,"emergency,first_aid,lab,leadership",38,38
E010,Valeria,triage,40,11,0,"communication,first_aid",,24
E011,Ilaria,nurse|triage,38,11,4,"communication,first_aid,leadership",38,38
E012,Leonardo,doctor,40,11,2,emergency,,32
E013,Omar,nurse,40,11,2,first_aid,,32
E014,Hassan,nurse|triage,40,11,0,"communication,first_aid",,28
E015,Nino,nurse,32,11,2,first_aid,,24
E016,Giorgio,icu_nurse,38,11,4,"first_aid,icu",38,38
E017,Walter,doctor,40,11,4,emergency,,24
E018,Ruben,triage|receptionist,36,11,0,"admin,communication,first_aid,leadership",36,36
E019,Grazia,triage,40,11,4,"communication,first_aid",40,40
E020,Gabriele,triage,36,11,4,"communication,first_aid",,28
E021,Umberto,doctor,32,11,0,emergency,,24
E022,Barbara,nurse|triage,,11,4,"communication,first_aid",36,
E023,Paola,doctor,38,11,4,emergency,38,38
E024,Francesca,nurse,36,11,2,first_aid,,24
E025,Xenia,doctor,40,11,0,"emergency,leadership",,32
E026,Franco,receptionist,36,11,0,"admin,communication",36,36
E027,Edoardo,labtech,,11,0,lab,40,
E028,Rita,icu_nurse,,11,4,"first_aid,icu",36,
E029,Pietro,triage,36,11,2,"communication,first_aid",36,36
E030,Nadia,icu_nurse,32,11,0,"first_aid,icu,leadership",,16
E031,Tariq,doctor,,11,4,emergency,36,
E032,Claudia,nurse|icu_nurse,36,11,0,"first_aid,icu",36,36
E033,Yara,doctor|labtech,36,11,4,"emergency,lab",,24
E034,Qi,doctor,36,11,0,"emergency,leadership",36,36
E035,Giulia,labtech,32,11,2,lab,,28
E036,Elisa,nurse,40,11,0,first_aid,40,40
E037,Filippo,icu_nurse,32,11,4,"first_aid,icu",,32
E038,Eva,doctor,36,11,0,emergency,,28
E039,Benedetta,nurse|triage,40,11,4,"communication,first_aid,leadership",,24
E040,Zeno,labtech,40,11,0,lab,40,40
E041,Bob,triage,32,11,2,"communication,first_aid",,32
E042,Noemi,radiology,,11,4,radiology,36,
E043,Federica,nurse|icu_nurse,36,11,2,"first_aid,icu",,32
E044,Andrea,doctor|labtech,38,11,2,"emergency,lab",38,38
E045,Luca,triage,,11,2,"communication,first_aid",36,
E046,Dario,triage,40,11,0,"communication,first_aid",,24
E047,Alex,triage|radiology,36,11,2,"communication,first_aid,leadership,radiology",,28
E048,Sara,triage,32,11,2,"communication,first_aid",,28
E049,Carla,nurse|triage,40,11,2,"communication,first_aid",,28
E050,Alice,radiology,36,11,4,radiology,36,36
