employee_id,name,roles,max_week_hours,min_rest_hours,max_overtime_hours,skills,contracted_hours,min_week_hours
E001,Sara,labtech|icu_nurse|receptionist,38,11,2,"admin,communication,first_aid,icu,lab,leadership",38,38
E002,Leonardo,radiology|icu_nurse|receptionist,40,11,4,"admin,communication,first_aid,icu,radiology",,28
E003,Beatrice,triage|receptionist|icu_nurse,36,11,2,"admin,communication,first_aid,icu",,32
E004,Chiara,doctor|receptionist,32,11,2,"admin,communication,emergency,leadership",,24
E005,Nino,triage,40,11,2,"communication,first_aid,leadership",,32
E006,Ruben,nurse|icu_nurse,40,11,0,"first_aid,icu",,28
E007,Giulia,doctor,40,11,4,emergency,,24
E008,Matteo,doctor,,11,4,emergency,32,
E009,Laura,radiology,40,11,4,radiology,,28
E010,Claudia,nurse,36,11,0,first_aid,36,36
E011,Filippo,nurse,36,11,4,first_aid,,32
E012,Qi,doctor,32,11,4,emergency,,32
E013,Ilaria,nurse,36,11,0,first_aid,,28
E014,Grazia,nurse,40,11,0,first_aid,,24
E015,Andrea,nurse|triage,40,11,4,"communication,first_aid",,16
E016,Gabriele,labtech,36,11,4,lab,36,36
E017,Giorgio,triage,40,11,2,"communication,first_aid",40,40
E018,Federica,doctor,,11,2,emergency,32,
E019,Enrico,nurse|triage,36,11,0,"communication,first_aid",36,36
E020,Elisa,nurse|triage,,11,0,"communication,first_aid",36,
E021,Valeria,triage,38,11,2,"communication,first_aid",38,38
E022,Yara,nurse|triage,38,11,2,"communication,first_aid",38,38
E023,Noemi,triage|receptionist,,11,2,"admin,communication,first_aid",32,
E024,Eva,nurse,38,11,2,first_aid,38,38
E025,Rita,triage,36,11,2,"communication,first_aid",,32
E026,Sofia,doctor,32,11,0,emergency,,28
E027,Bob,doctor,38,11,0,emergency,38,38
E028,Jamal,nurse,40,11,2,"first_aid,leadership",40,40
E029,Barbara,radiology,38,11,4,"leadership,radiology",38,38
E030,Carlo,nurse,38,11,4,first_aid,38,38
E031,Zeno,triage,36,11,2,"communication,first_aid",,32
E032,Benedetta,radiology,40,11,0,"leadership,radiology",,24
E033,Marta,icu_nurse,,11,4,"first_aid,icu",36,
E034,Carla,nurse,36,11,0,first_aid,,24
E035,Nadia,nurse,32,11,2,first_aid,,16
E036,Marco,nurse,40,11,2,first_aid,40,40
E037,Paola,doctor,40,11,0,emergency,40,40
E038,Xenia,doctor|radiology,40,11,4,"emergency,leadership,radiology",40,40
E039,Michela,triage,36,11,4,"communication,first_aid",36,36
E040,Lucia,triage,,11,2,"communication,first_aid",40,
E041,Tariq,triage,32,11,4,"communication,first_aid",,24
E042,Franco,doctor|labtech,36,11,0,"emergency,lab",,16
E043,Diego,labtech,38,11,4,lab,38,38
E044,Alex,nurse,38,11,0,first_aid,38,38
E045,Walter,nurse|triage,32,11,2,"communication,first_aid",,24
E046,Edoardo,icu_nurse|triage,36,11,2,"communication,first_aid,icu",,32
E047,Pietro,labtech,40,11,4,lab,,28
E048,Alice,nurse|icu_nurse,36,11,4,"first_aid,icu",,16
E049,Luca,nurse|icu_nurse,32,11,0,"first_aid,icu",,32
E050,Hassan,doctor,,11,0,emergency,40,
